TraceNumber,DateTime,ClassName,FunctionName,Parameters,Line,StackDepth,AlwaysUsed
28,2017-11-18T17:25:07.541,org.jfree.data.xy.XYDataItem,getX,(),97 ,7,true
29,2017-11-18T17:25:07.542,org.jfree.data.xy.XYSeries,updateBoundsForAddedItem,(org.jfree.data.xy.XYDataItem),250 ,6,true
30,2017-11-18T17:25:07.543,org.jfree.data.xy.XYDataItem,getXValue,(),112 ,7,true
31,2017-11-18T17:25:07.544,org.jfree.data.xy.XYSeries,minIgnoreNaN,(double  double),669 ,7,true
32,2017-11-18T17:25:07.545,org.jfree.data.xy.XYSeries,maxIgnoreNaN,(double  double),688 ,7,true
33,2017-11-18T17:25:07.546,org.jfree.data.xy.XYDataItem,getY,(),121 ,7,true
34,2017-11-18T17:25:07.551,org.jfree.data.xy.XYDataItem,getYValue,(),135 ,7,true
35,2017-11-18T17:25:07.558,org.jfree.data.xy.XYSeries,minIgnoreNaN,(double  double),669 ,7,true
36,2017-11-18T17:25:07.560,org.jfree.data.xy.XYSeries,maxIgnoreNaN,(double  double),688 ,7,true
37,2017-11-18T17:25:07.596,org.jfree.data.xy.XYSeries,getItemCount,(),347 ,6,true
38,2017-11-18T17:25:07.605,org.jfree.data.general.Series,fireSeriesChanged,(),333 ,6,true
39,2017-11-18T17:25:07.610,org.jfree.data.general.Series,notifyListeners,(org.jfree.data.general.SeriesChangeEvent),346 ,7,true
40,2017-11-18T17:25:07.613,org.jfree.data.xy.XYSeries,add,(double  double),415 ,3,true
41,2017-11-18T17:25:07.620,org.jfree.data.xy.XYSeries,add,(java.lang.Number  java.lang.Number  boolean),493 ,4,true
42,2017-11-18T17:25:07.624,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
43,2017-11-18T17:25:07.626,org.jfree.data.xy.XYSeries,add,(org.jfree.data.xy.XYDataItem  boolean),507 ,5,true
44,2017-11-18T17:25:07.629,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,6,true
45,2017-11-18T17:25:07.629,org.jfree.data.xy.XYDataItem,clone,(),216 ,6,true
46,2017-11-18T17:25:07.630,org.jfree.data.xy.XYDataItem,compareTo,(java.lang.Object),181 ,6,true
47,2017-11-18T17:25:07.635,org.jfree.data.xy.XYDataItem,getX,(),97 ,7,true
48,2017-11-18T17:25:07.637,org.jfree.data.xy.XYDataItem,compareTo,(java.lang.Object),181 ,6,true
49,2017-11-18T17:25:07.642,org.jfree.data.xy.XYDataItem,getX,(),97 ,7,true
50,2017-11-18T17:25:07.654,org.jfree.data.xy.XYSeries,updateBoundsForAddedItem,(org.jfree.data.xy.XYDataItem),250 ,6,true
51,2017-11-18T17:25:07.657,org.jfree.data.xy.XYDataItem,getXValue,(),112 ,7,true
52,2017-11-18T17:25:07.658,org.jfree.data.xy.XYSeries,minIgnoreNaN,(double  double),669 ,7,true
53,2017-11-18T17:25:07.660,org.jfree.data.xy.XYSeries,maxIgnoreNaN,(double  double),688 ,7,true
54,2017-11-18T17:25:07.661,org.jfree.data.xy.XYDataItem,getY,(),121 ,7,true
55,2017-11-18T17:25:07.670,org.jfree.data.xy.XYDataItem,getYValue,(),135 ,7,true
56,2017-11-18T17:25:07.673,org.jfree.data.xy.XYSeries,minIgnoreNaN,(double  double),669 ,7,true
57,2017-11-18T17:25:07.676,org.jfree.data.xy.XYSeries,maxIgnoreNaN,(double  double),688 ,7,true
58,2017-11-18T17:25:07.694,org.jfree.data.xy.XYSeries,getItemCount,(),347 ,6,true
59,2017-11-18T17:25:07.695,org.jfree.data.general.Series,fireSeriesChanged,(),333 ,6,true
60,2017-11-18T17:25:07.696,org.jfree.data.general.Series,notifyListeners,(org.jfree.data.general.SeriesChangeEvent),346 ,7,true
61,2017-11-18T17:25:07.804,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,3,true
62,2017-11-18T17:25:07.810,org.jfree.data.general.AbstractDataset,addChangeListener,(org.jfree.data.general.DatasetChangeListener),173 ,3,true
63,2017-11-18T17:25:07.811,org.jfree.data.general.Series,addChangeListener,(org.jfree.data.general.SeriesChangeListener),315 ,3,true
64,2017-11-18T17:25:07.812,org.jfree.data.general.Series,addVetoableChangeListener,(java.beans.VetoableChangeListener),395 ,3,true
65,2017-11-18T17:25:07.813,org.jfree.data.general.AbstractDataset,addChangeListener,(org.jfree.data.general.DatasetChangeListener),173 ,3,true
66,2017-11-18T17:25:09.159,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,3,true
67,2017-11-18T17:25:09.161,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,3,true
68,2017-11-18T17:25:09.208,org.jfree.chart.ChartColor,createDefaultPaintArray,(),151 ,3,true
69,2017-11-18T17:25:09.219,org.jfree.chart.plot.DefaultDrawingSupplier,createStandardSeriesShapes,(),294 ,3,true
70,2017-11-18T17:25:09.224,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
71,2017-11-18T17:25:09.228,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
72,2017-11-18T17:25:09.231,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double  double),533 ,4,true
73,2017-11-18T17:25:09.237,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double  double),533 ,4,true
74,2017-11-18T17:25:09.240,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
75,2017-11-18T17:25:09.255,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
76,2017-11-18T17:25:09.260,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
77,2017-11-18T17:25:09.263,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
78,2017-11-18T17:25:09.270,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
79,2017-11-18T17:25:09.274,org.jfree.chart.plot.DefaultDrawingSupplier,intArray,(double  double  double),518 ,4,true
80,2017-11-18T17:25:09.460,org.jfree.chart.ChartFactory,createXYBarChart,(java.lang.String  java.lang.String  boolean  java.lang.String  org.jfree.data.xy.IntervalXYDataset),1494 ,3,false
81,2017-11-18T17:25:09.473,org.jfree.chart.ChartFactory,createXYBarChart,(java.lang.String  java.lang.String  boolean  java.lang.String  org.jfree.data.xy.IntervalXYDataset  org.jfree.chart.plot.PlotOrientation  boolean  boolean  boolean),1524 ,4,false
82,2017-11-18T17:25:09.497,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
83,2017-11-18T17:25:09.504,org.jfree.chart.axis.NumberAxis,createStandardTickUnits,(),694 ,5,true
84,2017-11-18T17:25:09.519,org.jfree.chart.axis.NumberAxis,setAutoRangeIncludesZero,(boolean),260 ,5,false
85,2017-11-18T17:25:09.523,org.jfree.chart.axis.ValueAxis,isAutoRange,(),971 ,6,true
86,2017-11-18T17:25:09.527,org.jfree.chart.axis.NumberAxis,autoAdjustRange,(),426 ,6,true
87,2017-11-18T17:25:09.532,org.jfree.chart.axis.Axis,getPlot,(),1029 ,7,true
88,2017-11-18T17:25:09.542,org.jfree.chart.axis.Axis,notifyListeners,(org.jfree.chart.event.AxisChangeEvent),1218 ,6,true
89,2017-11-18T17:25:09.546,org.jfree.chart.axis.NumberAxis,createStandardTickUnits,(),694 ,5,true
90,2017-11-18T17:25:09.669,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
91,2017-11-18T17:25:09.673,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
92,2017-11-18T17:25:09.681,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
93,2017-11-18T17:25:09.709,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
94,2017-11-18T17:25:09.714,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
95,2017-11-18T17:25:09.719,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
96,2017-11-18T17:25:09.761,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
97,2017-11-18T17:25:09.773,org.jfree.chart.renderer.xy.XYBarRenderer,getDefaultBarPainter,(),176 ,5,false
98,2017-11-18T17:25:09.778,org.jfree.chart.renderer.xy.XYBarRenderer,getDefaultShadowsVisible,(),206 ,5,false
99,2017-11-18T17:25:09.806,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
100,2017-11-18T17:25:09.808,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
101,2017-11-18T17:25:09.809,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,5,true
102,2017-11-18T17:25:09.811,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,setDefaultToolTipGenerator,(org.jfree.chart.labels.XYToolTipGenerator),478 ,5,true
103,2017-11-18T17:25:09.812,org.jfree.chart.renderer.AbstractRenderer,fireChangeEvent,(),2857 ,6,true
104,2017-11-18T17:25:09.813,org.jfree.chart.renderer.AbstractRenderer,notifyListeners,(org.jfree.chart.event.RendererChangeEvent),2866 ,7,true
105,2017-11-18T17:25:09.876,org.jfree.chart.util.ResourceBundleWrapper,getBundle,(java.lang.String),122 ,5,true
106,2017-11-18T17:25:09.880,org.jfree.data.general.AbstractDataset,addChangeListener,(org.jfree.data.general.DatasetChangeListener),173 ,5,true
107,2017-11-18T17:25:09.881,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,setPlot,(org.jfree.chart.plot.XYPlot),290 ,5,true
108,2017-11-18T17:25:09.882,org.jfree.chart.renderer.AbstractRenderer,addChangeListener,(org.jfree.chart.event.RendererChangeListener),2810 ,5,true
109,2017-11-18T17:25:09.883,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,6,true
110,2017-11-18T17:25:09.884,org.jfree.chart.plot.XYPlot,mapDatasetToDomainAxis,(int  int),1435 ,5,true
111,2017-11-18T17:25:09.884,org.jfree.chart.plot.XYPlot,mapDatasetToDomainAxes,(int  java.util.List),1451 ,6,true
112,2017-11-18T17:25:09.885,org.jfree.chart.util.Args,requireNonNegative,(int  java.lang.String),67 ,7,true
113,2017-11-18T17:25:09.886,org.jfree.chart.plot.XYPlot,checkAxisIndices,(java.util.List),1504 ,7,true
114,2017-11-18T17:25:09.887,org.jfree.chart.plot.XYPlot,getDataset,(int),1359 ,7,true
115,2017-11-18T17:25:09.888,org.jfree.chart.plot.XYPlot,datasetChanged,(org.jfree.data.general.DatasetChangeEvent),4533 ,7,true
116,2017-11-18T17:25:09.889,org.jfree.chart.plot.XYPlot,configureDomainAxes,(),972 ,8,true
117,2017-11-18T17:25:09.890,org.jfree.chart.axis.NumberAxis,configure,(),415 ,9,true
118,2017-11-18T17:25:09.890,org.jfree.chart.axis.ValueAxis,isAutoRange,(),971 ,10,true
119,2017-11-18T17:25:09.891,org.jfree.chart.axis.NumberAxis,autoAdjustRange,(),426 ,10,true
120,2017-11-18T17:25:09.891,org.jfree.chart.axis.Axis,getPlot,(),1029 ,11,true
121,2017-11-18T17:25:09.892,org.jfree.chart.plot.XYPlot,configureRangeAxes,(),1255 ,8,true
122,2017-11-18T17:25:09.893,org.jfree.chart.plot.Plot,getParent,(),506 ,8,true
123,2017-11-18T17:25:09.893,org.jfree.chart.event.ChartChangeEvent,setType,(org.jfree.chart.event.ChartChangeEventType),131 ,8,true
124,2017-11-18T17:25:09.894,org.jfree.chart.plot.Plot,notifyListeners,(org.jfree.chart.event.PlotChangeEvent),1017 ,8,true
125,2017-11-18T17:25:09.896,org.jfree.chart.axis.Axis,setPlot,(org.jfree.chart.plot.Plot),1042 ,5,true
126,2017-11-18T17:25:09.902,org.jfree.chart.axis.NumberAxis,configure,(),415 ,6,true
127,2017-11-18T17:25:09.906,org.jfree.chart.axis.ValueAxis,isAutoRange,(),971 ,7,true
128,2017-11-18T17:25:09.910,org.jfree.chart.axis.NumberAxis,autoAdjustRange,(),426 ,7,true
129,2017-11-18T17:25:09.914,org.jfree.chart.axis.Axis,getPlot,(),1029 ,8,true
130,2017-11-18T17:25:09.917,org.jfree.chart.plot.XYPlot,getDataRange,(org.jfree.chart.axis.ValueAxis),4411 ,8,true
131,2017-11-18T17:25:09.918,org.jfree.chart.plot.XYPlot,getDomainAxisIndex,(org.jfree.chart.axis.ValueAxis),4349 ,9,true
132,2017-11-18T17:25:09.919,org.jfree.chart.plot.XYPlot,findDomainAxisIndex,(org.jfree.chart.axis.ValueAxis),4362 ,10,true
133,2017-11-18T17:25:09.919,org.jfree.chart.plot.XYPlot,getDatasetsMappedToDomainAxis,(java.lang.Integer),4294 ,9,true
134,2017-11-18T17:25:09.920,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,10,true
135,2017-11-18T17:25:09.921,org.jfree.chart.plot.XYPlot,getRangeAxisIndex,(org.jfree.chart.axis.ValueAxis),4380 ,9,true
136,2017-11-18T17:25:09.922,org.jfree.chart.plot.XYPlot,findRangeAxisIndex,(org.jfree.chart.axis.ValueAxis),4393 ,10,true
137,2017-11-18T17:25:09.923,org.jfree.chart.plot.Plot,getParent,(),506 ,10,true
138,2017-11-18T17:25:09.923,org.jfree.chart.plot.XYPlot,getRendererForDataset,(org.jfree.data.xy.XYDataset),1709 ,9,true
139,2017-11-18T17:25:09.932,org.jfree.chart.plot.XYPlot,indexOf,(org.jfree.data.xy.XYDataset),1417 ,10,true
140,2017-11-18T17:25:09.933,org.jfree.chart.renderer.xy.XYBarRenderer,findDomainBounds,(org.jfree.data.xy.XYDataset),1175 ,9,false
141,2017-11-18T17:25:09.934,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,findDomainBounds,(org.jfree.data.xy.XYDataset  boolean),719 ,10,true
142,2017-11-18T17:25:09.935,org.jfree.chart.renderer.AbstractRenderer,getDataBoundsIncludesVisibleSeriesOnly,(),2660 ,11,true
143,2017-11-18T17:25:09.935,org.jfree.data.xy.XYBarDataset,getSeriesCount,(),126 ,11,false
144,2017-11-18T17:25:09.936,org.jfree.data.xy.XYSeriesCollection,getSeriesCount,(),224 ,12,true
145,2017-11-18T17:25:09.937,org.jfree.chart.renderer.AbstractRenderer,isSeriesVisible,(int),530 ,11,true
146,2017-11-18T17:25:09.937,org.jfree.chart.util.BooleanList,getBoolean,(int),53 ,12,true
147,2017-11-18T17:25:09.938,org.jfree.chart.util.AbstractObjectList,get,(int),93 ,13,true
148,2017-11-18T17:25:09.939,org.jfree.data.xy.XYBarDataset,getSeriesKey,(int),139 ,11,false
149,2017-11-18T17:25:09.939,org.jfree.data.xy.XYSeriesCollection,getSeriesKey,(int),306 ,12,true
150,2017-11-18T17:25:09.940,org.jfree.data.xy.XYSeriesCollection,getSeries,(int),262 ,13,true
151,2017-11-18T17:25:09.940,org.jfree.data.xy.XYSeriesCollection,getSeriesCount,(),224 ,14,true
152,2017-11-18T17:25:09.941,org.jfree.data.general.Series,getKey,(),137 ,13,true
153,2017-11-18T17:25:09.997,org.jfree.data.general.DatasetUtils,findDomainBounds,(org.jfree.data.xy.XYDataset  java.util.List  boolean),688 ,11,true
154,2017-11-18T17:25:10.003,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,12,true
155,2017-11-18T17:25:10.012,org.jfree.data.general.DatasetUtils,iterateToFindDomainBounds,(org.jfree.data.xy.XYDataset  java.util.List  boolean),1361 ,12,true
156,2017-11-18T17:25:10.022,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,13,true
157,2017-11-18T17:25:10.026,org.jfree.chart.util.Args,nullNotPermitted,(java.lang.Object  java.lang.String),55 ,13,true
158,2017-11-18T17:25:10.030,org.jfree.data.general.AbstractSeriesDataset,indexOf,(java.lang.Comparable),98 ,13,true
159,2017-11-18T17:25:10.039,org.jfree.data.xy.XYBarDataset,getSeriesCount,(),126 ,14,false
160,2017-11-18T17:25:10.042,org.jfree.data.xy.XYSeriesCollection,getSeriesCount,(),224 ,15,true
161,2017-11-18T17:25:10.046,org.jfree.data.xy.XYBarDataset,getSeriesKey,(int),139 ,14,false
162,2017-11-18T17:25:10.055,org.jfree.data.xy.XYSeriesCollection,getSeriesKey,(int),306 ,15,true
163,2017-11-18T17:25:10.058,org.jfree.data.xy.XYSeriesCollection,getSeries,(int),262 ,16,true
164,2017-11-18T17:25:10.061,org.jfree.data.xy.XYSeriesCollection,getSeriesCount,(),224 ,17,true
165,2017-11-18T17:25:10.066,org.jfree.data.general.Series,getKey,(),137 ,16,true
166,2017-11-18T17:25:10.071,org.jfree.data.xy.XYBarDataset,getItemCount,(int),151 ,13,false
167,2017-11-18T17:25:10.085,org.jfree.data.xy.XYSeriesCollection,getItemCount,(int),344 ,14,true
168,2017-11-18T17:25:10.089,org.jfree.data.xy.XYSeriesCollection,getSeries,(int),262 ,15,true
169,2017-11-18T17:25:10.093,org.jfree.data.xy.XYSeriesCollection,getSeriesCount,(),224 ,16,true
170,2017-11-18T17:25:10.096,org.jfree.data.xy.XYSeries,getItemCount,(),347 ,15,true
171,2017-11-18T17:25:10.103,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,13,false
172,2017-11-18T17:25:10.106,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,14,true
173,2017-11-18T17:25:10.109,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,15,true
174,2017-11-18T17:25:10.113,org.jfree.data.xy.XYSeries,getX,(int),645 ,16,true
175,2017-11-18T17:25:10.117,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,17,true
176,2017-11-18T17:25:10.118,org.jfree.data.xy.XYDataItem,getX,(),97 ,17,true
177,2017-11-18T17:25:10.119,org.jfree.data.xy.XYBarDataset,getStartXValue,(int  int),245 ,13,false
178,2017-11-18T17:25:10.119,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,14,false
179,2017-11-18T17:25:10.120,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,15,true
180,2017-11-18T17:25:10.121,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,16,true
181,2017-11-18T17:25:10.122,org.jfree.data.xy.XYSeries,getX,(int),645 ,17,true
182,2017-11-18T17:25:10.125,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,18,true
183,2017-11-18T17:25:10.126,org.jfree.data.xy.XYDataItem,getX,(),97 ,18,true
184,2017-11-18T17:25:10.127,org.jfree.data.xy.XYBarDataset,getEndXValue,(int  int),279 ,13,false
185,2017-11-18T17:25:10.127,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,14,false
186,2017-11-18T17:25:10.127,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,15,true
187,2017-11-18T17:25:10.128,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,16,true
188,2017-11-18T17:25:10.128,org.jfree.data.xy.XYSeries,getX,(int),645 ,17,true
189,2017-11-18T17:25:10.129,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,18,true
190,2017-11-18T17:25:10.130,org.jfree.data.xy.XYDataItem,getX,(),97 ,18,true
191,2017-11-18T17:25:10.134,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,13,false
192,2017-11-18T17:25:10.134,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,14,true
193,2017-11-18T17:25:10.135,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,15,true
194,2017-11-18T17:25:10.136,org.jfree.data.xy.XYSeries,getX,(int),645 ,16,true
195,2017-11-18T17:25:10.136,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,17,true
196,2017-11-18T17:25:10.136,org.jfree.data.xy.XYDataItem,getX,(),97 ,17,true
197,2017-11-18T17:25:10.137,org.jfree.data.xy.XYBarDataset,getStartXValue,(int  int),245 ,13,false
198,2017-11-18T17:25:10.137,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,14,false
199,2017-11-18T17:25:10.138,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,15,true
200,2017-11-18T17:25:10.138,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,16,true
201,2017-11-18T17:25:10.138,org.jfree.data.xy.XYSeries,getX,(int),645 ,17,true
202,2017-11-18T17:25:10.139,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,18,true
203,2017-11-18T17:25:10.141,org.jfree.data.xy.XYDataItem,getX,(),97 ,18,true
204,2017-11-18T17:25:10.141,org.jfree.data.xy.XYBarDataset,getEndXValue,(int  int),279 ,13,false
205,2017-11-18T17:25:10.141,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,14,false
206,2017-11-18T17:25:10.142,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,15,true
207,2017-11-18T17:25:10.143,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,16,true
208,2017-11-18T17:25:10.143,org.jfree.data.xy.XYSeries,getX,(int),645 ,17,true
209,2017-11-18T17:25:10.144,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,18,true
210,2017-11-18T17:25:10.144,org.jfree.data.xy.XYDataItem,getX,(),97 ,18,true
211,2017-11-18T17:25:10.145,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,13,false
212,2017-11-18T17:25:10.145,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,14,true
213,2017-11-18T17:25:10.146,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,15,true
214,2017-11-18T17:25:10.149,org.jfree.data.xy.XYSeries,getX,(int),645 ,16,true
215,2017-11-18T17:25:10.150,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,17,true
216,2017-11-18T17:25:10.150,org.jfree.data.xy.XYDataItem,getX,(),97 ,17,true
217,2017-11-18T17:25:10.151,org.jfree.data.xy.XYBarDataset,getStartXValue,(int  int),245 ,13,false
218,2017-11-18T17:25:10.151,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,14,false
219,2017-11-18T17:25:10.151,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,15,true
220,2017-11-18T17:25:10.152,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,16,true
221,2017-11-18T17:25:10.152,org.jfree.data.xy.XYSeries,getX,(int),645 ,17,true
222,2017-11-18T17:25:10.153,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,18,true
223,2017-11-18T17:25:10.153,org.jfree.data.xy.XYDataItem,getX,(),97 ,18,true
224,2017-11-18T17:25:10.154,org.jfree.data.xy.XYBarDataset,getEndXValue,(int  int),279 ,13,false
225,2017-11-18T17:25:10.154,org.jfree.data.xy.XYBarDataset,getXValue,(int  int),181 ,14,false
226,2017-11-18T17:25:10.155,org.jfree.data.xy.AbstractXYDataset,getXValue,(int  int),76 ,15,true
227,2017-11-18T17:25:10.155,org.jfree.data.xy.XYSeriesCollection,getX,(int  int),357 ,16,true
228,2017-11-18T17:25:10.156,org.jfree.data.xy.XYSeries,getX,(int),645 ,17,true
229,2017-11-18T17:25:10.156,org.jfree.data.xy.XYSeries,getRawDataItem,(int),634 ,18,true
230,2017-11-18T17:25:10.156,org.jfree.data.xy.XYDataItem,getX,(),97 ,18,true
231,2017-11-18T17:25:10.157,org.jfree.data.Range,combine,(org.jfree.data.Range  org.jfree.data.Range),217 ,9,true
232,2017-11-18T17:25:10.157,org.jfree.chart.renderer.xy.AbstractXYItemRenderer,getAnnotations,(),608 ,9,true
233,2017-11-18T17:25:10.158,org.jfree.data.Range,getUpperBound,(),114 ,8,true
234,2017-11-18T17:25:10.158,org.jfree.data.Range,getLowerBound,(),105 ,8,true
235,2017-11-18T17:25:10.159,org.jfree.chart.axis.NumberAxis,getAutoRangeIncludesZero,(),243 ,8,true
236,2017-11-18T17:25:10.160,org.jfree.chart.axis.ValueAxis,getFixedAutoRange,(),1160 ,8,true
237,2017-11-18T17:25:10.161,org.jfree.chart.axis.ValueAxis,getAutoRangeMinimumSize,(),1015 ,8,true
