Name, TotalOccurances, AlwaysUsed 
org.jfree.chart.plot.XYPlot : rendererChanged,44,true
org.jfree.chart.plot.Plot : getInsets,5,true
org.jfree.chart.axis.TickUnits : getCeilingTickUnit,3,false
org.jfree.chart.axis.ValueAxis : getMinorTickCount,9,true
org.jfree.chart.JFreeChart : isBorderVisible,5,true
org.jfree.chart.renderer.AbstractRenderer : getTreatLegendShapeAsLine,1,false
org.jfree.chart.block.CenterArrangement : arrange,5,true
org.jfree.chart.renderer.xy.XYBarRenderer : setShadowVisible,3,false
org.jfree.chart.XYAreaChartTest : setUp,3,false
org.jfree.data.xy.IntervalXYDelegate : getIntervalPositionFactor,33,false
org.jfree.chart.axis.NumberAxis : getAutoRangeStickyZero,90,true
org.jfree.chart.axis.TickUnit : getMinorTickCount,9,true
org.jfree.chart.LegendItem : getOutlineStroke,5,true
org.jfree.chart.block.BlockContainer : getBlocks,10,true
org.jfree.chart.renderer.AbstractRenderer : getItemVisible,2,false
org.jfree.chart.LegendItemCollection : get,5,true
org.jfree.chart.block.BlockResult : getEntityCollection,5,true
org.jfree.chart.XYLineChartTest : testSetSeriesToolTipGenerator,1,false
org.jfree.chart.ui.RectangleInsets : trim,120,true
org.jfree.data.xy.XYSeriesCollection : getDomainBounds,54,false
org.jfree.chart.axis.DateAxis : calculateLowestVisibleTickValue,1,false
org.jfree.chart.block.AbstractBlock : setPadding,50,true
org.jfree.chart.ui.RectangleInsets : createOutsetRectangle,20,true
org.jfree.chart.axis.Axis : addChangeListener,30,true
org.jfree.chart.axis.NumberAxis : setAutoRangeIncludesZero,12,false
org.jfree.chart.StandardChartTheme : applyToXYItemRenderer,15,true
org.jfree.chart.plot.XYPlot : configureRangeAxes,59,true
org.jfree.chart.StandardChartTheme : applyToPlot,15,true
org.jfree.chart.ui.RectangleInsets : getTop,15,true
org.jfree.chart.ui.Size2D : getWidth,125,true
org.jfree.chart.plot.XYPlot : getDomainAxisLocation,5,true
org.jfree.chart.XYStepAreaChartTest : testDrawWithNullInfo,1,false
org.jfree.chart.util.Args : requireNonNegative,56,true
org.jfree.chart.util.ResourceBundleWrapper : getBundle,5,true
org.jfree.chart.text.TextLine : calculateDimensions,40,true
org.jfree.chart.plot.Plot : axisChanged,120,true
org.jfree.chart.renderer.AbstractRenderer : fireChangeEvent,68,true
org.jfree.chart.renderer.AbstractRenderer : getSeriesShape,3,false
org.jfree.data.xy.XYBarDataset : getItemCount,15,false
org.jfree.chart.block.BlockContainer : isEmpty,5,true
org.jfree.chart.LegendItem : setOutlineStroke,1,false
org.jfree.chart.plot.XYPlot : getRendererCount,15,true
org.jfree.chart.text.TextUtils : deriveTextBoundsAnchorOffsets,10,true
org.jfree.chart.plot.XYPlot : getIndexOf,26,true
org.jfree.chart.LegendItem : getLabelPaint,5,true
org.jfree.chart.XYStepChartTest : createChart,3,false
org.jfree.chart.block.AbstractBlock : trimMargin,35,true
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : getPlot,41,true
org.jfree.chart.block.BlockContainer : clear,5,true
org.jfree.chart.block.FlowArrangement : clear,5,true
org.jfree.chart.axis.DateTickUnit : getMultiple,2,false
org.jfree.chart.plot.Plot : getBackgroundPaint,15,true
org.jfree.chart.XYBarChartTest : setUp,3,false
org.jfree.chart.event.ChartChangeEvent : setType,35,true
org.jfree.chart.JFreeChart : setBackgroundPaint,15,true
org.jfree.chart.renderer.xy.XYBarRenderer : getDefaultShadowsVisible,3,false
org.jfree.chart.axis.NumberAxis : valueToJava2D,36,true
org.jfree.data.general.Series : fireSeriesChanged,60,true
org.jfree.chart.plot.XYPlot : getRangeAxisIndex,103,true
org.jfree.chart.axis.DateTickUnit : dateToString,4,false
org.jfree.chart.ChartFactory : createXYStepChart,3,false
org.jfree.chart.LegendItem : getShape,5,true
org.jfree.chart.axis.NumberAxis : configure,117,true
org.jfree.chart.plot.XYPlot : setRangeCrosshairVisible,6,false
org.jfree.chart.block.FlowArrangement : add,5,true
org.jfree.chart.plot.Plot : resolveDomainAxisLocation,5,true
org.jfree.chart.axis.ValueAxis : isAutoRange,145,true
org.jfree.data.general.DatasetUtils : findDomainBounds,113,true
org.jfree.chart.renderer.AbstractRenderer : lookupSeriesPaint,9,true
org.jfree.chart.block.BlockContainer : draw,15,true
org.jfree.chart.axis.NumberAxis : refreshTicksHorizontal,4,false
org.jfree.chart.axis.NumberAxis : getTickUnit,64,true
org.jfree.chart.axis.Axis : getPlot,148,true
org.jfree.chart.axis.NumberAxis : estimateMaximumTickLabelWidth,8,false
org.jfree.chart.XYStepChartTest : testSetSeriesToolTipGenerator,1,false
org.jfree.data.general.DatasetUtils : iterateToFindRangeBounds,26,true
org.jfree.chart.block.CenterArrangement : arrangeNN,5,true
org.jfree.chart.XYBarChartTest$LocalListener : access$000,1,false
org.jfree.chart.title.Title : isVisible,10,true
org.jfree.chart.LegendItem : getSeriesKey,5,true
org.jfree.chart.plot.XYPlot : getDataRange,103,true
org.jfree.chart.text.TextFragment : calculateDimensions,50,true
org.jfree.chart.plot.XYPlot : checkAxisIndices,30,true
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : getToolTipGenerator,5,true
org.jfree.data.xy.IntervalXYDelegate : isAutoWidth,60,false
org.jfree.chart.axis.DateTickUnit : getUnitType,1,false
org.jfree.chart.axis.DateAxis : refreshTicksHorizontal,1,false
org.jfree.chart.LegendItem : setDatasetIndex,5,true
org.jfree.chart.plot.XYPlot : calculateDomainAxisSpace,5,true
org.jfree.chart.renderer.xy.XYBarRenderer : findDomainBounds,10,false
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : getLegendItem,1,false
org.jfree.chart.axis.NumberAxis : setTickUnit,9,true
org.jfree.chart.axis.Axis : getTickLabelFont,50,true
org.jfree.chart.plot.XYPlot : getRangeAxis,25,true
org.jfree.chart.axis.DateAxis : createStandardDateTickUnits,3,false
org.jfree.chart.util.ShapeUtils : createTranslatedShape,5,true
org.jfree.data.xy.XYSeriesCollection : getSeries,229,true
org.jfree.chart.text.TextUtils : drawAlignedString,10,true
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : getLegendItemToolTipGenerator,5,true
org.jfree.chart.plot.DefaultDrawingSupplier : clone,15,true
org.jfree.chart.renderer.AbstractRenderer : getSeriesPaint,9,true
org.jfree.chart.util.ShapeList : setShape,3,false
org.jfree.chart.labels.StandardXYSeriesLabelGenerator : createItemArray,5,true
org.jfree.chart.axis.ValueAxis : isVerticalTickLabels,48,true
org.jfree.chart.plot.XYPlot : draw,5,true
org.jfree.chart.LegendItem : getLine,5,true
org.jfree.chart.StandardChartTheme : applyToTitle,15,true
org.jfree.chart.axis.DateAxis : getDateFormatOverride,2,false
org.jfree.chart.axis.Axis : fireChangeEvent,126,true
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : getLegendItemURLGenerator,5,true
org.jfree.chart.XYBarChartTest : testReplaceDataset,1,false
org.jfree.chart.text.TextBlock : setLineAlignment,5,true
org.jfree.chart.title.LegendGraphic : setOutlineStroke,5,true
org.jfree.chart.axis.DateAxis : previousStandardDate,1,false
org.jfree.chart.text.TextFragment : calculateBaselineOffset,10,true
org.jfree.chart.ui.RectangleInsets : calculateLeftOutset,85,true
org.jfree.chart.renderer.AbstractRenderer : getLegendTextPaint,5,true
org.jfree.chart.title.Title : getPosition,30,true
org.jfree.chart.renderer.xy.XYBarRenderer : getLegendItem,1,false
org.jfree.chart.plot.XYPlot : getDomainAxisIndex,103,true
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer : getSeriesShapesFilled,2,false
org.jfree.data.xy.XYDataItem : getXValue,60,true
org.jfree.data.general.AbstractDataset : removeChangeListener,5,true
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer : getItemShapeVisible,2,false
org.jfree.chart.plot.XYPlot : equals,5,true
org.jfree.chart.plot.Plot : setBackgroundPaint,15,true
org.jfree.chart.axis.Axis : setTickLabelFont,30,true
org.jfree.data.Range : combine,103,true
org.jfree.chart.block.BlockParams : getGenerateEntities,25,true
org.jfree.chart.plot.Plot : notifyListeners,376,true
org.jfree.chart.axis.DateAxis : setRange,16,false
org.jfree.chart.ui.RectangleInsets : getLeft,25,true
org.jfree.chart.plot.XYPlot : getDomainAxisEdge,5,true
org.jfree.chart.title.LegendGraphic : setLinePaint,5,true
org.jfree.chart.axis.DateAxis : selectHorizontalAutoTickUnit,1,false
org.jfree.chart.renderer.AbstractRenderer : lookupSeriesStroke,2,false
org.jfree.data.xy.XYSeries : minIgnoreNaN,120,true
org.jfree.data.xy.XYBarDataset : getYValue,18,false
org.jfree.data.xy.AbstractXYDataset : getYValue,78,true
org.jfree.chart.block.RectangleConstraint : getHeightRange,15,true
org.jfree.data.Range : getLowerBound,222,true
org.jfree.chart.axis.NumberAxis : createStandardTickUnits,27,true
org.jfree.chart.text.G2TextMeasurer : getStringWidth,12,true
org.jfree.chart.axis.Axis : getLabelInsets,10,true
org.jfree.chart.renderer.AbstractRenderer : lookupSeriesOutlinePaint,2,false
org.jfree.chart.text.TextUtils : nextLineBreak,5,true
org.jfree.chart.ui.RectangleInsets : calculateRightOutset,85,true
org.jfree.chart.axis.Axis : getLabelEnclosure,10,true
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : setPlot,15,true
org.jfree.chart.LegendItem : setURLText,1,false
org.jfree.chart.XYBarChartTest : createChart,3,false
org.jfree.chart.title.LegendTitle : getLegendItemGraphicLocation,5,true
org.jfree.chart.ui.TextAnchor : isHorizontalCenter,20,true
org.jfree.chart.title.LegendGraphic : setFillPaintTransformer,5,true
org.jfree.chart.block.AbstractBlock : calculateTotalHeight,25,true
org.jfree.chart.axis.DateAxis : autoAdjustRange,19,false
org.jfree.chart.axis.DateAxis : setTickUnit,1,false
org.jfree.chart.axis.NumberTickUnit : equals,1,false
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : findDomainBounds,54,true
org.jfree.chart.plot.XYPlot : getDatasetsMappedToRangeAxis,44,true
org.jfree.chart.ui.RectangleInsets : calculateBottomInset,215,true
org.jfree.chart.text.TextBlock : addLine,20,true
org.jfree.chart.plot.XYPlot : indexOf,108,true
org.jfree.chart.block.BlockContainer : arrange,15,true
org.jfree.chart.plot.DefaultDrawingSupplier : intArray,50,true
org.jfree.chart.XYStepAreaChartTest : setUp,3,false
org.jfree.chart.title.TextTitle : setPaint,15,true
org.jfree.chart.block.AbstractBlock : trimToContentWidth,30,true
org.jfree.chart.LegendItem : setDataset,5,true
org.jfree.chart.plot.XYPlot : findRangeAxisIndex,108,true
org.jfree.chart.XYAreaChartTest : testSetSeriesToolTipGenerator,1,false
org.jfree.chart.axis.Tick : getText,20,true
org.jfree.chart.renderer.xy.XYBarRenderer : getDefaultBarPainter,3,false
org.jfree.chart.axis.DateTickUnit : getMillisecondCount,123,false
org.jfree.chart.block.AbstractBlock : calculateTotalWidth,25,true
org.jfree.chart.renderer.AbstractRenderer : getSeriesOutlineStroke,4,false
org.jfree.chart.ui.TextAnchor : isHalfAscent,10,true
org.jfree.chart.ChartFactory : createXYLineChart,6,false
org.jfree.chart.util.StrokeList : setStroke,2,false
org.jfree.chart.text.TextUtils : getTextBounds,92,true
org.jfree.chart.plot.XYPlot : getRenderer,129,true
org.jfree.chart.renderer.AbstractRenderer : setSeriesShape,3,false
org.jfree.chart.title.LegendItemBlockContainer : setURLText,5,true
org.jfree.data.general.DatasetUtils : findRangeBounds,62,true
org.jfree.chart.title.LegendGraphic : setShapeVisible,5,true
org.jfree.chart.LegendItem : setToolTipText,1,false
org.jfree.chart.XYAreaChartTest$LocalListener : chartChanged,1,false
org.jfree.chart.axis.NumberAxis : refreshTicks,9,true
org.jfree.chart.plot.XYPlot : setRangeGridlinePaint,15,true
org.jfree.chart.plot.XYPlot : getRangeAxisEdge,5,true
org.jfree.chart.ChartFactory : createXYBarChart,6,false
org.jfree.chart.renderer.AbstractRenderer : lookupSeriesShape,3,false
org.jfree.chart.title.LegendItemBlockContainer : draw,5,true
org.jfree.chart.renderer.AbstractRenderer : getDataBoundsIncludesVisibleSeriesOnly,58,true
org.jfree.chart.axis.Axis : setLabelFont,30,true
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer : getLegendItem,2,false
org.jfree.chart.XYBarChartTest$LocalListener : chartChanged,1,false
org.jfree.chart.XYBarChartTest : testSetSeriesToolTipGenerator,1,false
org.jfree.chart.XYStepChartTest : testReplaceDataset,1,false
org.jfree.chart.block.BorderArrangement : add,10,true
org.jfree.data.Range : contains,191,true
org.jfree.chart.title.TextTitle : setFont,15,true
org.jfree.chart.XYStepAreaChartTest : testSetSeriesToolTipGenerator,1,false
org.jfree.data.Range : getLength,110,true
org.jfree.data.xy.XYSeriesCollection : getEndX,3,false
org.jfree.chart.util.Args : nullNotPermitted,2100,true
org.jfree.chart.title.LegendGraphic : setShapeOutlineVisible,5,true
org.jfree.chart.JFreeChart : draw,5,true
org.jfree.chart.LegendItem : isShapeOutlineVisible,5,true
org.jfree.chart.plot.XYPlot : getDatasetsMappedToDomainAxis,59,true
org.jfree.chart.event.RendererChangeEvent : getSeriesVisibilityChanged,44,true
org.jfree.chart.axis.ValueAxis : getLowerMargin,103,true
org.jfree.chart.text.TextUtils : createTextBlock,10,true
org.jfree.chart.LegendItem : getFillPaint,5,true
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer : getItemShapeFilled,2,false
org.jfree.chart.ui.RectangleInsets : calculateTopOutset,85,true
org.jfree.chart.ui.RectangleInsets : getRight,25,true
org.jfree.chart.ui.Size2D : getHeight,100,true
org.jfree.chart.block.AbstractBlock : drawBorder,30,true
org.jfree.chart.XYStepChartTest$LocalListener : access$000,1,false
org.jfree.data.xy.XYSeries : getMinY,18,false
org.jfree.chart.text.TextFragment : draw,10,true
org.jfree.data.xy.XYSeries : getMinX,27,false
org.jfree.chart.ui.TextAnchor : isBaseline,10,true
org.jfree.chart.ui.RectangleInsets : calculateLeftInset,215,true
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : setURLGenerator,9,false
org.jfree.data.xy.XYSeries : updateBoundsForAddedItem,60,true
org.jfree.data.xy.XYSeriesCollection : getSeriesKey,126,true
org.jfree.chart.ui.RectangleInsets : extendWidth,75,true
org.jfree.chart.axis.ValueAxis : setAutoRangeMinimumSize,6,false
org.jfree.data.time.DateRange : getUpperMillis,3,false
org.jfree.chart.title.LegendGraphic : setShapeAnchor,5,true
org.jfree.chart.renderer.AbstractRenderer : lookupSeriesOutlineStroke,4,false
org.jfree.data.Range : getUpperBound,238,true
org.jfree.chart.ui.TextAnchor : isTop,20,true
org.jfree.chart.axis.NumberTickUnitSource : previous,34,true
org.jfree.chart.LegendItem : getToolTipText,5,true
org.jfree.chart.axis.TickUnit : equals,1,false
org.jfree.data.xy.XYSeriesCollection : getItemCount,58,true
org.jfree.chart.axis.DateAxis : nextStandardDate,1,false
org.jfree.chart.axis.ValueAxis : getStandardTickUnits,10,true
org.jfree.data.xy.XYSeries : add,180,true
org.jfree.chart.plot.XYPlot : setShadowGenerator,15,true
org.jfree.chart.title.Title : getHorizontalAlignment,15,true
org.jfree.chart.axis.ValueAxis : setStandardTickUnits,3,false
org.jfree.data.xy.IntervalXYDelegate : getStartX,3,false
org.jfree.chart.title.TextTitle : arrangeRR,5,true
org.jfree.chart.JFreeChart : addChangeListener,5,true
org.jfree.chart.renderer.xy.XYBarRenderer : findRangeBounds,7,false
org.jfree.chart.axis.NumberAxis : calculateVisibleTickCount,9,true
org.jfree.chart.renderer.xy.AbstractXYItemRenderer : findRangeBounds,45,true
org.jfree.chart.plot.XYPlot : setDomainCrosshairVisible,6,false
org.jfree.chart.JFreeChart : getSubtitle,15,true
org.jfree.chart.util.PaintList : setPaint,5,true
org.jfree.data.xy.XYDataItem : getYValue,60,true
org.jfree.data.xy.XYBarDataset : getXValue,99,false
org.jfree.chart.XYAreaChartTest : testReplaceDataset,1,false
org.jfree.chart.plot.XYPlot : setDomainGridlinePaint,15,true
org.jfree.chart.ui.RectangleInsets : calculateTopInset,215,true
org.jfree.chart.renderer.AbstractRenderer : clearSeriesPaints,15,true
org.jfree.chart.XYStepAreaChartTest$LocalListener : access$000,1,false
org.jfree.chart.LegendItem : getLinePaint,5,true
org.jfree.chart.block.FlowArrangement : arrangeNN,5,true
org.jfree.chart.renderer.AbstractRenderer : clearSeriesStrokes,15,true
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer : getSeriesLinesVisible,2,false
org.jfree.chart.title.TextTitle : draw,5,true
org.jfree.chart.ui.RectangleEdge : isTopOrBottom,84,true
org.jfree.chart.util.PaintList : getPaint,16,true
org.jfree.chart.LegendItem : isShapeVisible,5,true
org.jfree.data.xy.XYSeriesCollection : getSeriesCount,395,true
org.jfree.chart.util.BooleanList : getBoolean,76,true
org.jfree.chart.renderer.AbstractRenderer : setDefaultItemLabelPaint,30,true
org.jfree.chart.axis.Axis : getLabelAngle,10,true
org.jfree.chart.ui.RectangleEdge : isLeftOrRight,40,true
org.jfree.chart.title.LegendGraphic : setLineStroke,5,true
org.jfree.chart.axis.ValueAxis : isAutoTickUnitSelection,10,true
org.jfree.chart.XYLineChartTest : createChart,3,false
org.jfree.chart.title.Title : notifyListeners,90,true
org.jfree.chart.StandardChartTheme : applyToValueAxis,30,true
org.jfree.chart.axis.NumberTickUnitSource : getCeilingTickUnit,29,true
